City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tadine,-21.55,167.8833,300.75,78,26,9.1,NC,1707794863
84,gadebusch,53.7,11.1167,278.09,86,18,4.53,DE,1707794863
85,kourou,5.1552,-52.6478,300.18,93,98,3.59,GF,1707794863
86,hammerfest,70.6634,23.6821,268.4,74,100,6.69,NO,1707794863
87,sherpur,25.0188,90.0175,294.35,28,35,2.77,BD,1707794863
88,mitu,1.1983,-70.1733,296.39,96,92,0.9,CO,1707794863
89,ilulissat,69.2167,-51.1,248.16,58,47,1.54,GL,1707794863
90,inyonga,-6.7167,32.0667,291.78,95,98,1.52,TZ,1707794863
91,ust-nera,64.5667,143.2,238.94,95,92,1.05,RU,1707794863
92,hirara,24.8,125.2833,296.07,60,75,7.2,JP,1707794863
93,midvagur,62.0511,-7.1939,275.61,100,75,2.57,FO,1707794863
94,papatowai,-46.5619,169.4708,293.36,52,80,0.51,NZ,1707794864
95,sault ste. marie,46.5168,-84.3333,270.46,96,40,3.09,CA,1707794677
96,vadso,70.0744,29.7487,264.24,86,75,5.14,NO,1707794864
97,bengkulu,-3.8004,102.2655,303.46,62,76,0.91,ID,1707794864
98,santa marta,11.2408,-74.199,303.09,68,30,5.36,CO,1707794840
99,constantia,44.1833,28.65,277.53,86,100,3.29,RO,1707794864
100,eyl,7.9803,49.8164,296.6,87,15,2.76,SO,1707794864
101,tingo maria,-9.2895,-76.0088,294.91,98,92,0.7,PE,1707794864
102,tezu,27.9167,96.1667,295.62,23,7,0.61,IN,1707794864
103,egilsstadir,65.2653,-14.3948,273.1,100,100,3.09,IS,1707794864
104,laascaanood,8.4774,47.3597,292.41,83,6,4.44,SO,1707794864
105,zarghun shahr,32.8473,68.4457,274.7,42,4,2.46,AF,1707794864
106,changyon,38.2508,125.0961,283.2,76,13,8.12,KP,1707794865
107,parkano,62.0167,23.0167,260.89,85,89,4.93,FI,1707794865
108,kingaroy,-26.5333,151.8333,299.25,60,97,3.83,AU,1707794865
109,hobyo,5.3505,48.5268,299.09,83,49,6.3,SO,1707794865
110,huntley,42.1681,-88.4281,276.08,76,80,0.89,US,1707794600
111,taro,-8.3862,115.28,299.18,60,23,0.53,ID,1707794865
112,myanaung,18.2833,95.3167,301.26,24,28,2.81,MM,1707794865
113,ornskoldsvik,63.2909,18.7153,258.68,85,99,2.57,SE,1707794865
114,mirador,-6.3708,-44.3631,296.33,81,70,1.64,BR,1707794865
115,saipan,15.1355,145.701,303.54,51,0,10.8,MP,1707794865
116,longyearbyen,78.2186,15.6401,262.06,79,0,0.51,SJ,1707794865
117,tebingtinggi,3.3285,99.1625,302.41,65,6,2.17,ID,1707794865
118,salinopolis,-0.6136,-47.3561,301.26,78,86,8.22,BR,1707794865
119,ketchikan,55.3422,-131.6461,277.14,87,0,2.06,US,1707794854
120,neijiang,29.5835,105.0622,289.48,46,84,0.81,CN,1707794866
121,portsmouth,50.799,-1.0913,281.43,88,97,4.51,GB,1707794866
122,aasiaat,68.7098,-52.8699,246.59,100,56,2.75,GL,1707794866
123,dimona,31.0667,35.0333,286.87,36,100,2.62,IL,1707794866
124,djibo,14.1022,-1.6306,297.13,9,50,4.12,BF,1707794866
125,porangatu,-13.4408,-49.1486,294.96,91,95,0.71,BR,1707794866
