City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,guerrero negro,17.6667,-100.0,292.57,90,23,2.26,MX,1707361180
84,haparanda,65.8355,24.1368,250.18,98,100,4.34,SE,1707361361
85,constantia,44.1833,28.65,281.53,74,100,3.84,RO,1707361195
86,gizo,-8.103,156.8419,302.28,76,100,7.16,SB,1707361171
87,cabo san lucas,-8.2833,-35.0333,302.11,81,91,2.53,BR,1707361149
88,inari,68.906,27.0288,250.26,100,97,1.27,FI,1707361171
89,chonchi,-42.6128,-73.8092,285.71,96,38,0.9,CL,1707361139
90,hawaiian paradise park,10.8241,123.0075,301.94,69,34,5.29,PH,1707361139
91,stanley,54.868,-1.6985,271.36,95,0,0.0,GB,1707361164
92,saipan,15.1355,145.701,302.54,54,20,7.2,MP,1707361158
93,hau-ri,41.2006,129.4703,273.83,54,0,1.34,KP,1707361362
94,praia da vitoria,14.9215,-23.5087,297.45,53,0,6.69,CV,1707361147
95,keflavik,64.0049,-22.5624,269.39,68,0,7.2,IS,1707361143
96,puerto ayora,36.5939,-6.233,284.05,93,100,3.09,ES,1707361148
97,cosio valtellino,22.35,-102.3,291.2,13,100,3.44,MX,1707361362
98,senanga,-16.1167,23.2667,291.17,89,22,2.0,ZM,1707361362
99,mersing,2.4312,103.8405,302.1,79,20,2.57,MY,1707361363
100,sterling,39.0062,-77.4286,277.9,69,0,0.45,US,1707361280
101,canarana,-11.6847,-41.7689,295.44,71,100,0.84,BR,1707361273
102,vilyuysk,63.7553,121.6247,237.59,99,74,1.34,RU,1707361178
103,hegang,47.4,130.3667,267.01,65,4,3.88,CN,1707361364
104,minas de marcona,-34.3759,-55.2377,297.33,66,69,4.38,UY,1707361174
105,deming,32.2687,-107.7586,277.09,81,0,7.72,US,1707361160
106,ziro,27.6333,93.8333,276.56,89,99,0.43,IN,1707361364
107,tank,32.2217,70.3793,285.5,35,0,1.79,PK,1707361195
108,hasaki,35.7333,140.8333,283.31,64,100,2.39,JP,1707361159
109,udachny,66.4167,112.4,246.73,75,100,1.21,RU,1707361159
110,penzance,50.1186,-5.5371,285.53,88,100,10.01,GB,1707361365
111,tuy hoa,14.0183,120.7296,305.24,46,20,0.54,PH,1707361365
112,kristiansund,63.1115,7.732,269.51,86,100,0.0,NO,1707361181
113,cutral-co,-38.9469,-69.2089,294.77,10,86,5.36,AR,1707361365
114,wafangdian,39.6183,122.0081,272.48,32,19,5.0,CN,1707361365
115,ola,59.5833,151.2833,255.16,78,14,2.26,RU,1707361365
116,dudinka,69.4058,86.1778,246.3,97,24,1.79,RU,1707361150
117,longyearbyen,78.2186,15.6401,265.06,73,40,6.69,SJ,1707361143
118,saudarkrokur,65.7461,-19.6394,258.22,94,55,3.74,IS,1707361366
119,acarau,-2.8856,-40.12,300.09,83,16,5.67,BR,1707361366
120,ketchikan,55.3422,-131.6461,274.41,69,100,1.54,US,1707361366
121,puerto san carlos,36.5939,-6.233,284.05,93,100,3.09,ES,1707361165
122,hermanus,-34.4187,19.2345,291.37,80,78,3.76,ZA,1707361154
123,decatur,39.8403,-88.9548,280.86,75,0,3.6,US,1707361114
124,ilulissat,69.2167,-51.1,255.69,95,100,1.79,GL,1707361162
125,nemuro,43.3236,145.575,270.25,75,73,3.93,JP,1707361158
126,itigi,-5.7,34.4833,289.95,95,31,1.77,TZ,1707361367
127,long beach,18.0761,99.8326,294.33,27,0,0.37,TH,1707361197
128,port saint john's,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361155
129,guozhen,34.3659,107.359,276.66,63,87,0.91,CN,1707361367
130,shevchenko,48.5,35.0,279.89,82,100,3.95,UA,1707361367
131,san patricio,13.3034,-4.8956,295.98,12,4,4.35,ML,1707361160
132,high river,33.6123,-95.7472,288.23,68,100,5.2,US,1707361368
133,thompson,55.7435,-97.8558,258.24,85,100,3.09,CA,1707361152
134,kanggye,40.9695,126.5852,270.28,69,3,1.32,KP,1707361368
135,mahibadhoo,3.7833,72.9667,300.7,70,84,7.75,MV,1707361368
136,santa ana,17.486,120.4348,302.05,93,4,2.56,PH,1707361350
137,nova sintra,-5.5279,-46.7049,295.39,97,100,1.24,BR,1707361168
138,utrik,11.2278,169.8474,299.55,82,100,9.39,MH,1707361167
139,impfondo,1.6381,18.0667,296.29,45,44,0.68,CG,1707361369
140,paoua,7.2427,16.4406,292.55,26,7,1.91,CF,1707361369
141,kodiak,57.79,-152.4072,273.88,86,100,2.57,US,1707361154
142,arraial do cabo,-22.8362,-46.646,291.83,93,100,0.64,BR,1707361161
143,port-vila,-17.7338,168.3219,301.23,79,96,4.63,VU,1707361369
144,la'ie,21.6477,-157.9253,300.13,69,7,3.13,US,1707361177
145,chadan,51.2833,91.5833,245.18,98,88,1.0,RU,1707361369
146,akureyri,65.6835,-18.0878,266.11,73,75,1.54,IS,1707361187
147,vilyuchinsk,52.9306,158.4028,268.3,79,100,0.86,RU,1707361153
148,belyy yar,55.8402,32.9419,258.52,96,98,2.53,RU,1707361370
149,vasarosnameny,48.1333,22.3167,281.09,84,100,4.72,HU,1707361370
150,aberdeen,57.1437,-2.0981,271.23,80,9,2.06,GB,1707361256
151,gordonvale,-17.0936,145.7842,302.56,92,94,2.9,AU,1707361370
152,amga,60.8953,131.9608,243.42,95,100,1.16,RU,1707361371
153,kone,-21.0595,164.8658,298.29,86,100,2.39,NC,1707361161
154,chongwe,-15.3292,28.682,291.05,94,98,1.28,ZM,1707361166
155,hinton,53.4001,-117.5857,269.5,91,92,0.92,CA,1707361371
156,ataq,14.5377,46.8319,287.69,66,29,1.91,YE,1707361371
157,mejit,10.2753,170.8646,299.89,80,77,8.69,MH,1707361371
158,colonia,50.9333,6.95,278.12,91,100,2.06,DE,1707361017
159,diapaga,12.0708,1.7889,293.84,19,2,3.82,BF,1707361371
160,guapi,2.5708,-77.8854,298.05,92,84,1.27,CO,1707361372
161,ta`u,-14.2336,-169.5144,301.58,80,100,8.94,AS,1707361372
162,punta arenas,8.9897,125.34,301.41,72,75,0.43,PH,1707361147
163,poxoreo,-15.8372,-54.3892,296.76,86,100,1.2,BR,1707361372
164,aykhal,66.0,111.5,249.2,99,100,1.83,RU,1707361175
165,kudahuvadhoo,2.6708,72.8944,300.76,70,96,6.49,MV,1707361372
166,north elba,50.3333,3.6667,279.49,95,100,0.97,FR,1707361373
167,kavieng,-2.5744,150.7967,299.78,87,100,12.98,PG,1707361228
168,karasuk,53.7377,78.0403,263.36,92,9,5.04,RU,1707361373
169,nyandoma,61.669,40.1991,251.34,97,100,3.73,RU,1707361373
170,bredasdorp,-34.5322,20.0403,291.24,77,58,2.82,ZA,1707361140
171,lebu,-37.6167,-73.65,286.96,77,96,8.97,CL,1707361155
172,nova vicosa,-5.5279,-46.7049,295.39,97,100,1.24,BR,1707361168
173,codrington,-38.2667,141.9667,293.07,52,0,6.34,AU,1707361173
174,moyale,3.5167,39.0584,293.68,71,14,2.32,KE,1707361374
175,pisco,-13.7,-76.2167,297.18,88,0,6.69,PE,1707361374
176,crucecita,-28.95,-58.9833,299.97,68,32,4.79,AR,1707361374
177,vila velha,42.0304,-8.1588,282.98,82,100,4.98,PT,1707361374
178,mar del plata,43.4002,-4.0094,291.08,46,0,9.77,ES,1707361374
179,cromer,52.9312,1.2989,273.79,80,100,2.17,GB,1707361374
180,calamar,10.2511,-74.9146,299.13,74,79,2.84,CO,1707361374
181,concepcion del oro,-36.827,-73.0498,290.04,63,0,5.14,CL,1707361222
182,yuzhno-kurilsk,44.0306,145.8556,266.69,70,100,4.34,RU,1707361173
183,labrador city,16.0281,120.1442,302.25,55,3,2.7,PH,1707361173
184,tharad,24.3961,71.6267,289.5,42,98,4.89,IN,1707361375
185,santana,-0.0583,-51.1817,300.25,89,0,2.57,BR,1707361375
186,uturoa,-16.7333,-151.4333,301.63,84,77,11.94,PF,1707361141
187,kayes,14.0,-11.0,301.05,9,100,4.25,ML,1707361375
188,port moresby,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361375
189,eastham,41.8301,-69.9739,274.79,72,0,1.34,US,1707361375
190,hotan,37.0997,79.9269,271.72,53,1,1.1,CN,1707361376
191,bridgewater,44.3835,-64.5155,270.97,79,100,2.06,CA,1707361376
192,khorixas,-20.3667,14.9667,294.43,48,10,1.3,NA,1707361376
193,maralal,1.0968,36.698,288.49,79,0,1.93,KE,1707361376
194,kamaishi,39.2667,141.8833,278.4,46,45,4.23,JP,1707361376
195,sinabang,2.4803,96.3801,302.34,69,69,1.09,ID,1707361166
196,conde,-7.2597,-34.9075,300.85,83,20,3.09,BR,1707361376
197,frolovo,49.7713,43.6622,277.81,94,100,9.61,RU,1707361377
198,jayapura,-2.5333,140.7,303.81,67,88,4.33,ID,1707361377
199,roma,43.2128,-75.4557,276.3,75,0,1.54,US,1707361139
200,las heras,49.7393,19.4295,276.08,71,100,0.54,PL,1707361377
201,albany,42.6001,-73.9662,274.67,66,38,0.72,US,1707360584
202,oxelosund,58.6706,17.1015,266.36,93,75,0.0,SE,1707361377
203,yermolayevo,52.7167,55.8,263.22,95,100,4.39,RU,1707361377
204,cartagena,10.3997,-75.5144,298.94,83,20,2.06,CO,1707361320
205,tanjung selor,-8.356,116.1565,304.69,71,46,1.99,ID,1707361216
206,carnarvon,-24.8667,113.6333,305.88,40,0,2.17,AU,1707361146
207,badger,64.8,-147.5333,258.1,79,40,1.54,US,1707361083
208,rancho palos verdes,-23.025,-52.9621,295.97,88,95,1.38,BR,1707361378
209,klaksvik,62.2266,-6.589,271.66,63,99,10.55,FO,1707361187
210,irtyshsk,53.3333,75.4572,266.84,86,26,7.1,KZ,1707361378
211,zhoucun,36.8167,117.8167,278.09,54,100,1.74,CN,1707361378
212,kosh-agach,50.0,88.6667,250.54,79,90,0.45,RU,1707361378
213,masterton,-40.9597,175.6575,299.32,45,55,3.54,NZ,1707361378
214,brandon,27.9378,-82.2859,288.66,78,0,3.6,US,1707361378
215,cabedelo,-6.9811,-34.8339,301.52,82,96,3.97,BR,1707361379
216,tanout,14.9709,8.8879,286.75,24,0,4.99,NE,1707361197
217,kailua-kona,19.6406,-155.9956,299.13,77,40,2.57,US,1707361173
218,porto novo,41.1496,-8.611,288.88,77,20,10.8,PT,1707361184
219,whakatane,-37.9585,176.9854,301.42,81,4,2.68,NZ,1707361312
